ordine	data	ora	altezza	temperatura	lido	ventoMS	ventomax	dirventoGN
33	12/11/19	09.333	1.2	14.1	1.31	10.6	12.9	45
34	12/11/19	09.498	1.21	14.3	1.31	10.5	12.4	48
35	12/11/19	09.664	1.23	14.3	1.31	10.4	11.7	47
36	12/11/19	09.830	1.24	14.3	1.31	10.2	11.6	49
37	12/11/19	10.000	1.25	14.2	1.3	9.8	10.8	45
38	12/11/19	10.166	1.26	14.3	1.28	9.5	11	46
39	12/11/19	10.333	1.27	14.4	1.28	9	10.6	44
40	12/11/19	10.498	1.26	14.4	1.24	8.8	10.4	42
41	12/11/19	10.664	1.26	14.4	1.23	9.4	11.3	41
42	12/11/19	10.830	1.26	14.4	1.2	10	11.8	43
43	12/11/19	11.000	1.25	14.4	1.18	9.7	11.4	38
44	12/11/19	11.166	1.24	14.4	1.15	9.3	11	37
45	12/11/19	11.333	1.22	14.3	1.11	9.2	11.2	39
46	12/11/19	11.498	1.2	14.3	1.08	9.2	10.9	42
47	12/11/19	11.664	1.17	14.3	1.03	9	11.2	41
48	12/11/19	11.830	1.15	14.2	1.01	9.5	12	38
49	12/11/19	12.000	1.11	14.2	0.97	9.5	11.2	41
50	12/11/19	12.166	1.09	14.1	0.94	9.1	10.5	35
51	12/11/19	12.333	1.05	14.1	0.91	8.8	10.6	36
52	12/11/19	12.498	1.02	14.1	0.86	9.7	11.3	34
53	12/11/19	12.664	0.99	14.1	0.8	9.5	12.1	32
54	12/11/19	12.830	0.95	14.1	0.78	9.6	12.3	34
55	12/11/19	13.000	0.91	14.1	0.76	9.8	13.2	32
56	12/11/19	13.166	0.89	14.1	0.72	10	12.2	36
57	12/11/19	13.333	0.85	14.1	0.71	10.8	13.2	36
58	12/11/19	13.498	0.83	14	0.65	10.4	12.1	35
59	12/11/19	13.664	0.8	14	0.6	9.7	12.5	37
60	12/11/19	13.830	0.76	13.9	0.59	10.2	13.1	40
61	12/11/19	14.000	0.73	13.9	0.55	9.6	11.9	41
62	12/11/19	14.166	0.7	13.8	0.51	9.8	12	41
63	12/11/19	14.333	0.68	13.8	0.51	10	12.2	38
64	12/11/19	14.498	0.64	13.8	0.46	10.6	12.8	44
65	12/11/19	14.664	0.62	13.7	0.44	10.4	13.4	44
66	12/11/19	14.830	0.58	13.7	0.42	9.8	11.9	39
67	12/11/19	15.000	0.55	13.7	0.41	10.8	13.3	39
68	12/11/19	15.166	0.53	13.7	0.39	11.7	13.8	47
69	12/11/19	15.333	0.5	13.6	0.4	11.8	14.3	47
70	12/11/19	15.498	0.48	13.6	0.44	10.4	14	43
71	12/11/19	15.664	0.45	13.6	0.5	10.7	12.3	41
72	12/11/19	15.830	0.45	13.6	0.47	10.7	13.4	40
73	12/11/19	16.000	0.44	13.6	0.49	10.1	12.1	36
74	12/11/19	16.166	0.44	13.5	0.48	10.8	12.8	35
75	12/11/19	16.333	0.44	13.5	0.48	9.7	10.6	35
76	12/11/19	16.498	0.43	13.5	0.54	9.6	12.7	28
77	12/11/19	16.664	0.43	13.5	0.54	10.1	13	31
78	12/11/19	16.830	0.44	13.5	0.53	10.4	12.8	36
79	12/11/19	17.000	0.45	13.5	0.56	10.7	13.9	41
80	12/11/19	17.166	0.46	13.5	0.6	10.8	13.7	38
81	12/11/19	17.333	0.47	13.6	0.65	10.3	12.4	37
82	12/11/19	17.498	0.5	13.6	0.68	9.3	13.4	36
83	12/11/19	17.664	0.52	13.6	0.7	10.8	13.7	43
84	12/11/19	17.830	0.55	13.6	0.8	12.3	14.8	52
85	12/11/19	18.000	0.58	13.6	0.86	12	14.5	51
86	12/11/19	18.166	0.62	13.6	0.96	11.9	14.1	55
87	12/11/19	18.333	0.67	13.6	1.03	10.5	12.6	40
88	12/11/19	18.498	0.72	13.5	1.08	9.6	12.4	41
89	12/11/19	18.664	0.78	13.5	1.11	9.4	12.1	32
90	12/11/19	18.830	0.83	13.6	1.14	9.9	13.1	28
91	12/11/19	19.000	0.86	13.7	1.13	10.7	13.7	32
92	12/11/19	19.166	0.9	13.7	1.16	11.4	15.4	26
93	12/11/19	19.333	0.92	13.7	1.18	11.7	15.6	30
94	12/11/19	19.498	0.95	13.8	1.23	11.1	13	28
95	12/11/19	19.664	0.98	13.9	1.27	11	14.5	22
96	12/11/19	19.830	1.02	14	1.35	12	15.4	28
97	12/11/19	20.000	1.05	14	1.43	11.9	15.6	28
98	12/11/19	20.166	1.08	14	1.52	13.3	15	19
99	12/11/19	20.333	1.12	13.9	1.58	13.9	17.5	26
100	12/11/19	20.498	1.17	14.1	1.61	13.5	17.6	38
101	12/11/19	20.664	1.22	14.1	1.67	13.6	17.1	36
102	12/11/19	20.830	1.25	14.3	1.6	11	13	36
103	12/11/19	21.000	1.28	14.4	1.65	13.1	17.6	57
104	12/11/19	21.166	1.33	14.4	1.71	14.4	17.2	90
105	12/11/19	21.333	1.38	14.6	1.76	13.7	18.1	78
106	12/11/19	21.498	1.43	14.7	1.81	14.8	16.7	92
107	12/11/19	21.664	1.47	14.7	1.91	12.2	13.4	98
108	12/11/19	21.830	1.52	14.7	1.92	10.6	14.3	146
109	12/11/19	22.000	1.56	14.8	1.88	11.6	14.6	152
110	12/11/19	22.166	1.64	14.9	1.74	14.3	17.4	167
111	12/11/19	22.333	1.7	14.9	1.7	16.3	19.3	179
112	12/11/19	22.498	1.74	15	1.75	25.9	34.9	205
113	12/11/19	22.664	1.83	15	1.56	26.8	32.2	213
114	12/11/19	22.830	1.87	15	1.25	25	29.7	219
115	12/11/19	23.000	1.81	15	1.14	21.9	26.5	224
116	12/11/19	23.166	1.69	15	1.2	19.9	22.4	227
117	12/11/19	23.333	1.6	14.9	1.15	17.4	19.1	226
118	12/11/19	23.498	1.54	14.9	1.25	15.1	17.3	224
119	12/11/19	23.664	1.48	14.9	1.21	13.2	15.2	223
120	12/11/19	23.830	1.43	14.8	1.13	10.8	11.9	224
121	13/11/19	00.000	1.36	14.8	1.11	10.1	11.9	225
122	13/11/19	00.166	1.29	14.7	1.07	9.5	11.7	230
123	13/11/19	00.333	1.25	14.6	1.04	8.5	10	226
124	13/11/19	00.498	1.21	14.6	0.96	6.9	7.8	237
125	13/11/19	00.664	1.18	14.6	0.89	6	7.7	249
126	13/11/19	00.830	1.13	14.5	0.93	5.9	6.9	251
127	13/11/19	01.000	1.08	14.5	0.9	3.9	5.1	255
128	13/11/19	01.166	1.05	14.5	0.89	5.5	7.6	267
129	13/11/19	01.333	1.02	14.5	0.86	6	6.5	274
130	13/11/19	01.498	1.02	14.4	0.78	5.2	5.5	287
131	13/11/19	01.664	0.98	14.4	0.69	5	6.9	339
132	13/11/19	01.830	0.94	14.3	0.61	5.9	7.4	20
133	13/11/19	02.000	0.89	14.3	0.48	3.7	4.7	50
134	13/11/19	02.166	0.84	14.2	0.4	4.2	4.9	53
135	13/11/19	02.333	0.8	14.1	0.48	4.6	5.8	60
136	13/11/19	02.498	0.76	14.1	0.47	4.4	6.1	37
137	13/11/19	02.664	0.73	14	0.46	5.2	6.3	63
138	13/11/19	02.830	0.68	14	0.44	6	8.4	58
139	13/11/19	03.000	0.65	13.9	0.46	7.4	8.1	62
140	13/11/19	03.166	0.62	13.8	0.51	7.7	8.8	63
141	13/11/19	03.333	0.6	13.8	0.54	7.6	8.8	64
142	13/11/19	03.498	0.59	13.8	0.57	7.6	8.1	64
143	13/11/19	03.664	0.58	13.7	0.62	6.7	7.5	57
144	13/11/19	03.830	0.58	13.7	0.7	6.5	6.9	56
