data	ora	altezza	temp
14/11/19	05.20	0.56	13.4
14/11/19	05.30	0.58	13.4
14/11/19	05.40	0.6	13.4
14/11/19	05.50	0.62	13.3
14/11/19	06.00	0.64	13.4
14/11/19	06.10	0.67	13.5
14/11/19	06.20	0.69	13.7
14/11/19	06.30	0.71	13.8
14/11/19	06.40	0.73	13.8
14/11/19	06.50	0.75	13.7
14/11/19	07.00	0.77	13.6
14/11/19	07.10	0.79	13.5
14/11/19	07.20	0.8	13.4
14/11/19	07.30	0.82	13.4
14/11/19	07.40	0.84	13.4
14/11/19	07.50	0.87	13.5
14/11/19	08.00	0.89	13.5
14/11/19	08.10	0.91	13.7
14/11/19	08.20	0.93	13.9
14/11/19	08.30	0.96	14.1
14/11/19	08.40	0.99	14.1
14/11/19	08.50	1.01	14.3
14/11/19	09.00	1.03	14.4
14/11/19	09.10	1.05	14.5
14/11/19	09.20	1.06	14.5
14/11/19	09.30	1.07	14.6
14/11/19	09.40	1.09	14.7
14/11/19	09.50	1.1	14.7
14/11/19	10.00	1.11	14.6
14/11/19	10.10	1.11	14.7
14/11/19	10.20	1.12	14.7
14/11/19	10.30	1.13	14.8
14/11/19	10.40	1.13	14.8
14/11/19	10.50	1.13	14.8
14/11/19	11.00	1.13	14.8
14/11/19	11.10	1.12	14.7
14/11/19	11.20	1.12	14.8
14/11/19	11.30	1.12	14.8
14/11/19	11.40	1.11	14.9
14/11/19	11.50	1.1	14.9
14/11/19	12.00	1.08	14.8
14/11/19	12.10	1.07	14.8
14/11/19	12.20	1.05	14.8
14/11/19	12.30	1.03	14.8
14/11/19	12.40	1	14.7
14/11/19	12.50	0.97	14.7
14/11/19	13.00	0.94	14.6
14/11/19	13.10	0.9	14.6
14/11/19	13.20	0.87	14.4
14/11/19	13.30	0.84	14.4
14/11/19	13.40	0.81	14.2
14/11/19	13.50	0.78	14
14/11/19	14.00	0.75	13.9
14/11/19	14.10	0.72	13.8
14/11/19	14.20	0.69	13.7
14/11/19	14.30	0.66	13.7
14/11/19	14.40	0.64	13.6
14/11/19	14.50	0.6	13.5
14/11/19	15.00	0.58	13.5
14/11/19	15.10	0.55	13.4
14/11/19	15.20	0.52	13.4
14/11/19	15.30	0.49	13.4
14/11/19	15.40	0.46	13.4
14/11/19	15.50	0.43	13.4
14/11/19	16.00	0.41	13.3
14/11/19	16.10	0.38	13.3
14/11/19	16.20	0.36	13.3
14/11/19	16.30	0.34	13.2
14/11/19	16.40	0.31	13.1
14/11/19	16.50	0.29	13.1
14/11/19	17.00	0.27	13.1
14/11/19	17.10	0.25	13
14/11/19	17.20	0.23	13
14/11/19	17.30	0.22	12.9
14/11/19	17.40	0.2	12.9
14/11/19	17.50	0.2	12.9
14/11/19	18.00	0.19	12.9
14/11/19	18.10	0.18	12.9
14/11/19	18.20	0.18	12.8
14/11/19	18.30	0.18	12.8
14/11/19	18.40	0.19	12.8
14/11/19	18.50	0.19	12.9
14/11/19	19.00	0.2	12.8
14/11/19	19.10	0.21	13.1
14/11/19	19.20	0.23	13
14/11/19	19.30	0.24	13.2
14/11/19	19.40	0.27	13.5
14/11/19	19.50	0.29	13.4
14/11/19	20.00	0.31	13.5
14/11/19	20.10	0.34	13.5
14/11/19	20.20	0.37	13.6
14/11/19	20.30	0.39	13.6
14/11/19	20.40	0.42	13.7
14/11/19	20.50	0.46	13.7
14/11/19	21.00	0.49	13.8
14/11/19	21.10	0.52	13.8
14/11/19	21.20	0.55	13.6
14/11/19	21.30	0.57	13.5
14/11/19	21.40	0.6	13.4
14/11/19	21.50	0.63	13.4
14/11/19	22.00	0.65	13.5
14/11/19	22.10	0.68	13.5
14/11/19	22.20	0.71	13.7
14/11/19	22.30	0.74	13.7
14/11/19	22.40	0.76	13.7
14/11/19	22.50	0.79	13.7
14/11/19	23.00	0.82	13.7
14/11/19	23.10	0.84	13.6
14/11/19	23.20	0.86	13.6
14/11/19	23.30	0.88	13.6
14/11/19	23.40	0.89	13.5
14/11/19	23.50	0.91	13.5
15/11/19	00.00	0.92	13.7
15/11/19	00.10	0.93	13.8
15/11/19	00.20	0.94	13.9
15/11/19	00.30	0.95	13.9
15/11/19	00.40	0.95	14
15/11/19	00.50	0.96	14.1
15/11/19	01.00	0.96	14.1
15/11/19	01.10	0.96	14.2
15/11/19	01.20	0.97	14.2
15/11/19	01.30	0.98	14.2
15/11/19	01.40	0.97	14.2
15/11/19	01.50	0.97	14.2
15/11/19	02.00	0.96	14.1
15/11/19	02.10	0.96	14.2
15/11/19	02.20	0.95	14.1
15/11/19	02.30	0.94	14.1
15/11/19	02.40	0.93	14.1
15/11/19	02.50	0.9	14.1
15/11/19	03.00	0.89	14.1
15/11/19	03.10	0.88	14.1
15/11/19	03.20	0.87	14
15/11/19	03.30	0.84	13.9
15/11/19	03.40	0.82	13.8
15/11/19	03.50	0.82	13.8
15/11/19	04.00	0.81	13.8
15/11/19	04.10	0.8	13.8
15/11/19	04.20	0.8	13.8
15/11/19	04.30	0.79	13.8
15/11/19	04.40	0.78	13.8
15/11/19	04.50	0.79	13.9
15/11/19	05.00	0.79	13.9
15/11/19	05.10	0.8	13.8
15/11/19	05.20	0.8	13.7
15/11/19	05.30	0.8	13.5
15/11/19	05.40	0.81	13.4
15/11/19	05.50	0.83	13.4
15/11/19	06.00	0.85	13.5
15/11/19	06.10	0.87	13.5
15/11/19	06.20	0.88	13.7
15/11/19	06.30	0.9	13.9
15/11/19	06.40	0.92	13.9
15/11/19	06.50	0.95	13.8
15/11/19	07.00	0.98	13.9
15/11/19	07.10	1	13.9
15/11/19	07.20	1.03	13.9
15/11/19	07.30	1.05	13.9
15/11/19	07.40	1.08	14
15/11/19	07.50	1.12	14
15/11/19	08.00	1.14	14
15/11/19	08.10	1.16	14
15/11/19	08.20	1.18	14
15/11/19	08.30	1.22	14.1
15/11/19	08.40	1.25	14.3
15/11/19	08.50	1.27	14.4
15/11/19	09.00	1.3	14.5
15/11/19	09.10	1.32	14.5
15/11/19	09.20	1.33	14.5
15/11/19	09.30	1.37	14.4
15/11/19	09.40	1.39	14.4
15/11/19	09.50	1.41	14.5
15/11/19	10.00	1.44	14.4
15/11/19	10.10	1.45	14.4
15/11/19	10.20	1.46	14.4
15/11/19	10.30	1.48	14.4
15/11/19	10.40	1.5	14.4
15/11/19	10.50	1.51	14.4
15/11/19	11.00	1.52	14.4
15/11/19	11.10	1.53	14.4
15/11/19	11.20	1.53	14.4
15/11/19	11.30	1.53	14.4
15/11/19	11.40	1.54	14.5
15/11/19	11.50	1.53	14.4
15/11/19	12.00	1.52	14.4
15/11/19	12.10	1.51	14.4
15/11/19	12.20	1.5	14.4
15/11/19	12.30	1.49	14.4
15/11/19	12.40	1.46	14.4
15/11/19	12.50	1.45	14.4
15/11/19	13.00	1.42	14.4
15/11/19	13.10	1.39	14.4
15/11/19	13.20	1.36	14.4
15/11/19	13.30	1.34	14.4
15/11/19	13.40	1.31	14.4
15/11/19	13.50	1.29	14.4
15/11/19	14.00	1.26	14.3
15/11/19	14.10	1.22	14.3
15/11/19	14.20	1.18	14.2
15/11/19	14.30	1.15	14.2
15/11/19	14.40	1.1	14.2
15/11/19	14.50	1.05	14.1
15/11/19	15.00	1.01	14.1
15/11/19	15.10	0.99	14
15/11/19	15.20	0.96	13.9
15/11/19	15.30	0.93	13.9
15/11/19	15.40	0.9	13.8
15/11/19	15.50	0.87	13.8
15/11/19	16.00	0.84	13.7
15/11/19	16.10	0.82	13.7
15/11/19	16.20	0.79	13.6
15/11/19	16.30	0.78	13.6
15/11/19	16.40	0.76	13.6
15/11/19	16.50	0.73	13.6
15/11/19	17.00	0.72	13.5
15/11/19	17.10	0.71	13.5
15/11/19	17.20	0.69	13.5
15/11/19	17.30	0.67	13.5
15/11/19	17.40	0.66	13.5
15/11/19	17.50	0.65	13.5
15/11/19	18.00	0.65	13.5
15/11/19	18.10	0.65	13.4
15/11/19	18.20	0.63	13.4
15/11/19	18.30	0.63	13.4
15/11/19	18.40	0.61	13.4
15/11/19	18.50	0.6	13.4
15/11/19	19.00	0.61	13.4
15/11/19	19.10	0.61	13.4
15/11/19	19.20	0.6	13.5
15/11/19	19.30	0.61	13.5
15/11/19	19.40	0.6	13.5
15/11/19	19.50	0.62	13.6
15/11/19	20.00	0.64	13.7
15/11/19	20.10	0.64	13.6
15/11/19	20.20	0.66	13.7
15/11/19	20.30	0.68	13.7
15/11/19	20.40	0.69	13.7
15/11/19	20.50	0.72	13.7
15/11/19	21.00	0.74	13.7
15/11/19	21.10	0.78	13.6
15/11/19	21.20	0.81	13.6
15/11/19	21.30	0.84	13.6
15/11/19	21.40	0.86	13.6
15/11/19	21.50	0.88	13.6
15/11/19	22.00	0.91	13.6
15/11/19	22.10	0.96	13.7
15/11/19	22.20	0.98	13.8
15/11/19	22.30	1.01	13.8
15/11/19	22.40	1.03	13.7
15/11/19	22.50	1.07	13.7
15/11/19	23.00	1.09	13.7
15/11/19	23.10	1.11	13.7
15/11/19	23.20	1.13	13.7
15/11/19	23.30	1.15	13.8
15/11/19	23.40	1.14	13.8
15/11/19	23.50	1.15	13.9
16/11/19	00.00	1.15	13.8
